CODIGO_ACCIDENTE;FORMULARIO;FECHA;GRAVEDAD;CLASE;CHOQUE;LONGITUD;LATITUD;CODIGO_LOCALIDAD;TOTAL_MUERTOS;TOTAL_HERIDOS;TEXTO_OBSERVACIONES;CODIGO_CAUSA;DESCRIPCION
1;2001;2/19/2024 3:13 AM;DANOS;CHOQUE;OBJETO;-74,12601081;4,721000585;10;;;SE PRESENTA COMO RESPONSABLE DEL VEHICULO EL SEÑOR ALBERTO JOSE MENDOZA RINCON CIV 26524469 Y COMO RESPONSABLE DEL PREDIO LA SEÑORA MARIA ESPERANZA VEGA CC 51705375 LOS DAÑOS DEL PREDIO SON LA REJA DOBLADA Y DESPRENDIDA DE SU BASE SE CORRIJE LA DIRECCION YA QUE LA CORRECTA ES CRA 116 N 77B  42;157;OTRA HIPÓTESIS (CONDUCTOR)
2;2002;2/18/2024 10:35 PM;HERIDOS;CAIDA;;-74,1894987;4,601954239;7;;1;NO SE DIAGRAMA VEHICULO YA QUE FUE MOVIDO DE LA POSICION FINAL;119;FRENAR BRUSCAMENTE
3;2003;2/18/2024 9:00 PM;HERIDOS;CHOQUE;VEHICULO;-74,13998512;4,588920505;6;;2;CORRIJO CASILLA N 83 VH1 SIENDO LA CORRECTA MOTOCICLETA DE IGUAL MANERA CASILLA 89 SIENDO LA CORRECTA LUGAR DE IMPACTO FRONTAL;121;NO MANTENER DISTANCIA DE SEGURIDAD
4;2004;2/18/2024 8:20 PM;HERIDOS;CHOQUE;VEHICULO;-74,141027;4,562366739;19;;2;VH1 123;123;NO RESPETAR PRELACION DE INTERSECCIONES O GIROS
5;2005;2/18/2024 5:35 PM;HERIDOS;CAIDA;;-74,20323966;4,609736935;7;;1;CORRIJO CASILLA 79 DE LA VIA N1 YA QUE NO HABIA AGENTE DE TRANSITO CORRIJO CASILLA 9 VICTIMAS APELLIDO Y NOMBRE RINCON GARZON CARMEN AMALIA;506;OTRA HIPÓTESIS (PASAJERO O ACOMPAÑANTE)
6;2006;2/18/2024 4:51 PM;HERIDOS;ATROPELLO;;-74,17861197;4,631689974;7;;2;SE CORRIJE NUMERO DOCUMENTO DEL PEATON CORRESPONDE CEDULA NUMERO 33150873;402;SALIR POR DELANTE DE UN VEHICULO
7;2007;2/18/2024 8:45 AM;HERIDOS;CHOQUE;VEHICULO;-74,13580892;4,646908759;8;;2;CORRIJO FECHA DE NACIMIENTO VH2 07 DE JULIO 2000;123;NO RESPETAR PRELACION DE INTERSECCIONES O GIROS
8;2008;2/18/2024 7:20 AM;HERIDOS;CHOQUE;VEHICULO;-74,12541536;4,587992762;18;;2;HIPOTESIS DE ACCIDENTALIDAD VH1 N 122 GIRAR BRUSCAMENTE;122;GIRAR BRUSCAMENTE
9;2009;2/18/2024 6:10 AM;HERIDOS;CHOQUE;VEHICULO;-74,16859893;4,619251974;8;;2;CARROCERIA VH1 ES SEDAN;157;OTRA HIPÓTESIS (CONDUCTOR)
10;2010;2/18/2024 6:05 AM;HERIDOS;VOLVAMIENTO;;-74,1151425;4,713203082;10;;1;NO SE RADICA EN FISCALIA YQ QUE EL LESINADO MANIFIESTA SU DESEO DE NO INSTAURAR DENUNCIA EN CONCORDANCIA A RESOLUCION 0167003922 DEL 2016 CIRCUAR 001 DEL 25 05 2017 SE DEJA CONSTANCIA QUE CONDUCTOR DESCIENDE DE AMBULANCIA Y FIRMA DESISTIMIENTO ANEXO COMPARENDO 42397277 POR D01 Y 42396765 POR F ;139;IMPERICIA EN EL MANEJO
11;2011;2/18/2024 3:38 AM;HERIDOS;CHOQUE;VEHICULO;-74,03151123;4,760267442;1;;1;SE CORRIGE CASILLA 5 Y 51 ES CHOQUE CON VEHICULO SE LE NOTIFICA ORDEN DE COMPARENDO AL CONDUCTOR VH1 39597538 POR LA INFRACCION D1;139;IMPERICIA EN EL MANEJO
12;2012;2/17/2024 6:40 PM;HERIDOS;CHOQUE;VEHICULO;-74,1002026;4,600700337;14;;1;EL CONDUCTOR VH2 MANIFIESTA QUE EL VEHICULO DE PLACAS TTS182 LO COLISIONA DE PRIMERAS Y SE DA LA FUGA ;157;OTRA HIPÓTESIS (CONDUCTOR)
13;2013;2/17/2024 1:00 PM;HERIDOS;CAIDA;;-74,14163468;4,595369226;6;;3;CORRIJO CASILLA N 82 VH14 N RESPONSABILIDAD EXTRACONTRACTUAL SIENDO CORRECTA 2000294217;119;FRENAR BRUSCAMENTE
